detect_date,type,market,code,name,board_date,purpose_text,detail
2026-08-12,new,sii,2355,敬鵬,115/08/12,轉讓股份予員工,"預定1,200,000股 115/08/13~115/10/12"
2026-08-12,new,otc,6603,富強鑫,115/08/12,轉讓股份予員工,"預定5,000,000股 115/08/13~115/10/12"
2026-08-14,new,sii,8028,昇陽半導體,115/08/13,轉讓股份予員工,"預定300,000股 115/08/13~115/10/12"
2026-08-14,new,otc,4123,晟德,115/08/14,轉讓股份予員工,"預定20,000,000股 115/08/17~115/10/13"
2026-08-14,new,otc,4533,協易機,115/08/13,轉讓股份予員工,"預定2,000,000股 115/08/13~115/10/12"
2026-08-14,new,otc,8171,天宇,115/08/13,轉讓股份予員工,"預定2,000,000股 115/08/14~115/10/13"
2026-08-14,changed,sii,6534,正瀚-創,115/06/16,轉讓股份予員工,"done:N->Y; bought_shares:-->1,050,000; bought_ratio_pct:-->52.50; bought_amount:-->98,870,728; note:-->基於維護股東權益並兼顧市場機制，本公司視股價變化及成交量狀況採取分批買回策略，雖未全數執行完畢，但執行率已達52.5%。"
2026-08-17,changed,otc,7820,立盈,115/08/06,轉讓股份予員工,period_end:115/10/06->115/10/05
2026-08-17,removed,sii,2355,敬鵬,115/08/12,轉讓股份予員工,本案從 MOPS 表中消失
2026-08-17,removed,otc,6804,明係,115/08/07,轉讓股份予員工,本案從 MOPS 表中消失
2026-08-18,new,sii,2355,敬鵬,115/08/12,轉讓股份予員工,"預定1,200,000股 115/08/12~115/10/11"
2026-08-18,new,otc,6804,明係,115/08/07,轉讓股份予員工,"預定1,000,000股 115/08/10~115/10/07"
2026-08-18,removed,otc,8171,天宇,115/08/13,轉讓股份予員工,本案從 MOPS 表中消失
2026-08-19,changed,sii,5469,瀚宇博,115/07/30,轉讓股份予員工,"done:N->Y; bought_shares:-->2,000,000; bought_ratio_pct:-->100.00; bought_amount:-->141,487,012"
2026-08-19,removed,otc,6284,佳邦,115/07/31,轉讓股份予員工,本案從 MOPS 表中消失
2026-08-21,new,sii,7749,意騰-KY,115/08/21,轉讓股份予員工,"預定900,000股 115/08/24~115/10/20"
2026-08-21,new,otc,6021,美好證,115/08/20,維護公司信用及股東權益並辦理註銷,"預定3,568,000股 115/08/21~115/10/19"
2026-08-24,new,sii,5546,永固-KY,115/08/24,維護公司信用及股東權益並辦理註銷,"預定1,000,000股 115/08/25~115/10/24"
2026-08-24,new,otc,6284,佳邦,115/07/31,轉讓股份予員工,"預定2,000,000股 115/08/03~115/09/30"
2026-08-24,changed,sii,2354,鴻準,115/08/06,轉讓股份予員工,period_end:115/10/06->115/10/05
2026-08-24,changed,sii,8028,昇陽半導體,115/08/13,轉讓股份予員工,"done:N->Y; bought_shares:-->300,000; bought_ratio_pct:-->100.00; bought_amount:-->77,256,299"
2026-08-24,changed,otc,6603,富強鑫,115/08/12,轉讓股份予員工,period_end:115/10/12->115/10/11
2026-08-25,changed,sii,2355,敬鵬,115/08/12,轉讓股份予員工,"done:N->Y; bought_shares:-->1,200,000; bought_ratio_pct:-->100.00; bought_amount:-->49,981,505"
2026-08-25,changed,sii,2385,群光,115/06/30,維護公司信用及股東權益並辦理註銷,note:-->考量市場機制及整體股東權益。
2026-08-25,changed,sii,5258,虹堡,115/06/30,轉讓股份予員工,note:-->為維護全體股東權益及兼顧市場交易機制，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。執行率52.4%。
2026-08-27,changed,sii,5258,虹堡,115/06/30,轉讓股份予員工,note:為維護全體股東權益及兼顧市場交易機制，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。執行率52.4%。->為維護全體股東權益及兼顧市場交易機制，本公司視股價變化及成交量狀況採分批買回策略，故未執行完畢。執行率53.13%。
